Task, Scale Factor, N, Time, Resizes
PUSH,1.5,10000000,0.17996,39
POP,1.5,10000000,0.173572,78
ENQUEUE,1.5,10000000,0.189374,39
DEQUEUE,1.5,10000000,0.190031,78
PUSH,1.5,30000000,0.563855,42
POP,1.5,30000000,0.553168,84
ENQUEUE,1.5,30000000,0.592003,42
DEQUEUE,1.5,30000000,0.595323,84
PUSH,1.5,50000000,0.869862,43
POP,1.5,50000000,0.856284,86
ENQUEUE,1.5,50000000,0.92943,43
DEQUEUE,1.5,50000000,0.935858,86
PUSH,1.5,75000000,1.31798,44
POP,1.5,75000000,1.29596,88
ENQUEUE,1.5,75000000,1.37951,44
DEQUEUE,1.5,75000000,1.39509,88
PUSH,1.5,100000000,1.8861,45
POP,1.5,100000000,1.8414,90
ENQUEUE,1.5,100000000,1.9924,45
DEQUEUE,1.5,100000000,1.9826,90
PUSH,2,10000000,0.148398,23
POP,2,10000000,0.144261,47
ENQUEUE,2,10000000,0.15774,23
DEQUEUE,2,10000000,0.158318,47
PUSH,2,30000000,0.371486,24
POP,2,30000000,0.365047,49
ENQUEUE,2,30000000,0.439246,24
DEQUEUE,2,30000000,0.487851,49
PUSH,2,50000000,0.701783,25
POP,2,50000000,0.705183,51
ENQUEUE,2,50000000,0.728614,25
DEQUEUE,2,50000000,0.729217,51
PUSH,2,75000000,1.14797,26
POP,2,75000000,1.11677,53
ENQUEUE,2,75000000,1.2103,26
DEQUEUE,2,75000000,1.24232,53
PUSH,2,100000000,1.33313,26
POP,2,100000000,1.30608,53
ENQUEUE,2,100000000,1.4164,26
DEQUEUE,2,100000000,1.43717,53
PUSH,3,10000000,0.143604,15
POP,3,10000000,0.137974,31
ENQUEUE,3,10000000,0.151888,15
DEQUEUE,3,10000000,0.154272,31
PUSH,3,30000000,0.428558,16
POP,3,30000000,0.414108,33
ENQUEUE,3,30000000,0.456599,16
DEQUEUE,3,30000000,0.453762,33
PUSH,3,50000000,0.590592,16
POP,3,50000000,0.562442,33
ENQUEUE,3,50000000,0.619795,16
DEQUEUE,3,50000000,0.625495,33
PUSH,3,75000000,0.7751,16
POP,3,75000000,0.752846,33
ENQUEUE,3,75000000,0.822358,16
DEQUEUE,3,75000000,0.840692,33
PUSH,3,100000000,1.41183,17
POP,3,100000000,1.34759,35
ENQUEUE,3,100000000,1.55564,17
DEQUEUE,3,100000000,1.58595,35
PUSH,10,10000000,0.0953905,7
POP,10,10000000,0.0898523,15
ENQUEUE,10,10000000,0.0994137,7
DEQUEUE,10,10000000,0.100825,15
PUSH,10,30000000,0.399343,8
POP,10,30000000,0.455276,17
ENQUEUE,10,30000000,0.491119,8
DEQUEUE,10,30000000,0.457637,17
PUSH,10,50000000,0.603267,8
POP,10,50000000,0.560841,17
ENQUEUE,10,50000000,0.596644,8
DEQUEUE,10,50000000,0.601295,17
PUSH,10,75000000,0.762022,8
POP,10,75000000,0.737697,17
ENQUEUE,10,75000000,0.800087,8
DEQUEUE,10,75000000,0.819415,17
PUSH,10,100000000,0.943874,8
POP,10,100000000,0.919341,17
ENQUEUE,10,100000000,1.00331,8
DEQUEUE,10,100000000,1.02419,17
PUSH,100,10000000,0.172072,4
POP,100,10000000,0.144429,9
ENQUEUE,100,10000000,0.17755,4
DEQUEUE,100,10000000,0.16547,9
PUSH,100,30000000,0.337272,4
POP,100,30000000,0.297408,9
ENQUEUE,100,30000000,0.342689,4
DEQUEUE,100,30000000,0.327225,9
PUSH,100,50000000,0.482553,4
POP,100,50000000,0.449085,9
ENQUEUE,100,50000000,0.505408,4
DEQUEUE,100,50000000,0.502816,9
PUSH,100,75000000,0.674066,4
POP,100,75000000,0.639731,9
ENQUEUE,100,75000000,0.720361,4
DEQUEUE,100,75000000,0.733762,9
PUSH,100,100000000,0.922891,4
POP,100,100000000,0.901102,9
ENQUEUE,100,100000000,0.940714,4
DEQUEUE,100,100000000,0.924491,9
